ICSD Code,Formula,Chemical Formula,Space Group,Validation Status,Measurement Conditions,Compound Class,Year,Journal,GII,Failure Mode,Disorder Type
58663,Ba1 O1,Ba1 O1,F m -3 m,Failed,Ambient,Oxide,1972.0,Journal of Geophysical Research,0.2192,Type6_Anomaly,pure
616004,Ba1 O1,Ba1 O1,F m -3 m,Failed,Ambient,Oxide,1955.0,Physical Review,0.2193,Type6_Anomaly,pure
616005,Ba1 O1,Ba1 O1,F m -3 m,Failed,Ambient,Oxide,1984.0,Transactions and Journal of the British Ceramic Society,0.2193,Type6_Anomaly,pure
14922,Ca1 O1,Ca1 O1,F m -3 m,Failed,Ambient,Oxide,2020.0,Chemistry of Materials,0.1118,Type6_Anomaly,pure
26959,Ca1 O1,Ca1 O1,F m -3 m,Failed,Ambient,Oxide,1922.0,Zeitschrift fuer Physik,0.0768,Type6_Anomaly,pure
28905,Ca1 O1,Ca1 O1,F m -3 m,Failed,Ambient,Oxide,1948.0,Journal of the American Chemical Society,0.1002,Type6_Anomaly,pure
51409,Ca1 O1,Ca1 O1,F m -3 m,Failed,Ambient,Oxide,2001.0,Materials Research Bulletin,0.1178,Type6_Anomaly,pure
52783,Ca1 O1,Ca1 O1,F m -3 m,Failed,Ambient,Oxide,1968.0,Journal of Applied Crystallography,0.1135,Type6_Anomaly,pure
60199,Ca1 O1,Ca1 O1,F m -3 m,Failed,Ambient,Oxide,1927.0,Zeitschrift fuer Physikalische Chemie (Leipzig),0.1144,Type6_Anomaly,pure
60704,Ca1 O1,Ca1 O1,F m -3 m,Failed,Ambient,Oxide,1945.0,"Journal of the Iron and Steel Institute, London",0.11,Type6_Anomaly,pure
61550,Ca1 O1,Ca1 O1,F m -3 m,Failed,Ambient,Oxide,1929.0,Gazzetta Chimica Italiana,0.1176,Type6_Anomaly,pure
75785,Ca1 O1,Ca1 O1,F m -3 m,Failed,Ambient,Oxide,,,0.1066,Type6_Anomaly,pure
90486,Ca1 O1,Ca1 O1,F m -3 m,Failed,Ambient,Oxide,2000.0,Journal of Physics: Condensed Matter,0.109,Type6_Anomaly,pure
148208,Ca1 O1,Ca1 O1,F m -3 m,Failed,Ambient,Oxide,2023.0,Inorganic Chemistry,0.1133,Type6_Anomaly,pure
163628,Ca1 O1,Ca1 O1,F m -3 m,Failed,Ambient,Oxide,2009.0,Journal of Materials Chemistry,0.113,Type6_Anomaly,pure
197982,Ca1 O1,Ca1 O1,F m -3 m,Failed,Ambient,Oxide,1984.0,Transactions and Journal of the British Ceramic Society,0.1135,Type6_Anomaly,pure
198080,Ca1 O1,Ca1 O1,F m -3 m,Failed,Ambient,Oxide,,,0.1144,Type6_Anomaly,pure
261847,Ca1 O1,Ca1 O1,F m -3 m,Failed,Ambient,Oxide,2011.0,Journal of Solid State Chemistry,0.1199,Type6_Anomaly,pure
24802,Cd1 O1,Cd1 O1,F m -3 m,Failed,Ambient,Oxide,1928.0,"Proceedings of the Physical Society, London",0.11,Type6_Anomaly,pure
29289,Cd1 O1,Cd1 O1,F m -3 m,Failed,Ambient,Oxide,1960.0,Journal of Physics and Chemistry of Solids,0.1056,Type6_Anomaly,pure
29290,Cd1 O1,Cd1 O1,F m -3 m,Failed,Ambient,Oxide,1960.0,Journal of Physics and Chemistry of Solids,0.1056,Type6_Anomaly,pure
29291,Cd1 O1,Cd1 O1,F m -3 m,Failed,Ambient,Oxide,1960.0,Journal of Physics and Chemistry of Solids,0.1067,Type6_Anomaly,pure
29292,Cd1 O1,Cd1 O1,F m -3 m,Failed,Ambient,Oxide,1960.0,Journal of Physics and Chemistry of Solids,0.1069,Type6_Anomaly,pure
31055,Cd1 O1,Cd1 O1,F m -3 m,Failed,Ambient,Oxide,1922.0,Zeitschrift fuer Kristallographie,0.1415,Type6_Anomaly,pure
61554,Cd1 O1,Cd1 O1,F m -3 m,Failed,Ambient,Oxide,1929.0,Gazzetta Chimica Italiana,0.1365,Type6_Anomaly,pure
181294,Cd1 O1,Cd1 O1,F m -3 m,Failed,Ambient,Oxide,2011.0,"Physica B: Condensed Matter (Amsterdam, Netherlands)",0.0943,Type6_Anomaly,pure
181735,Cd1 O1,Cd1 O1,F m -3 m,Failed,Ambient,Oxide,2011.0,Journal of Alloys and Compounds,0.111,Type6_Anomaly,pure
197688,Cd1 O1,Cd1 O1,F m -3 m,Failed,Ambient,Oxide,1953.0,National Bureau of Standards Circular (U. S.),0.1061,Type6_Anomaly,pure
259401,Cd1 O1,Cd1 O1,F m -3 m,Failed,Ambient,Oxide,2015.0,RSC Advances,0.1108,Type6_Anomaly,pure
259402,Cd1 O1,Cd1 O1,F m -3 m,Failed,Ambient,Oxide,2015.0,RSC Advances,0.0921,Type6_Anomaly,pure
259403,Cd1 O1,Cd1 O1,F m -3 m,Failed,Ambient,Oxide,2015.0,RSC Advances,0.0982,Type6_Anomaly,pure
259409,Cd1 O1,Cd1 O1,F m -3 m,Failed,Ambient,Oxide,2016.0,Bulletin of Materials Science,0.1155,Type6_Anomaly,pure
620202,Cd1 O1,Cd1 O1,F m -3 m,Failed,Ambient,Oxide,,Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences,0.0935,Type6_Anomaly,pure
620205,Cd1 O1,Cd1 O1,F m -3 m,Failed,Ambient,Oxide,1984.0,Transactions and Journal of the British Ceramic Society,0.1061,Type6_Anomaly,pure
620206,Cd1 O1,Cd1 O1,F m -3 m,Failed,Ambient,Oxide,1971.0,Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE),0.1059,Type6_Anomaly,pure
164322,Co1 Li1 O2,Co1 Li1 O2,F m -3 m,Failed,Ambient,Oxide,1994.0,"Journal of Applied Physics (Melville, NY, United States)",0.2855,Type6_Anomaly,heterovalent
